Data (GG.MM.AAAA)|Modulo/Feature|Descrizione Tecnica dell'Attività|Fase|Ore
06.04.2026|Structure Analyzer (Deterministic)|Implementazione mappai-structure-analyzer.js (747 righe): analisi DETERMINISTICA grafo (zero AI). Godness metrics (rami non sviluppati, leaf isolation, connectivity). Tarjan bridges/articolazioni, betweenness centrality Brandes. Adaptive per mode (MM/KG) e topology|Sviluppo/Integrazione|9.0
10.04.2026|Node Merge & Relink Operations|Implementazione mappai-node-merge.js (248 righe): "Fondi con..." (merge A→B), "Cambia Link" (riassegna parent). Ricalcolo livelli sottoalbero (_recalcLevels). Propagazione group color (_recalcGroups, _nextFreeGroup). Bidirezionali link preservation|Sviluppo/Integrazione|5.5
14.04.2026|Link Family Modal & Bidirectional|Implementazione showLinkFamilyPrompt modale: 7 famiglia link (EDGE_FAMILIES) con verbi default. Toggle bidirezionale (↔ button). Marker SVG arrowhead-rev per link bidirezionali. Path Bezier curva offset 40px|Sviluppo/Integrazione|6.0
18.04.2026|Glossary e Node Styling|Implementazione mappai-glossary.js (167 righe) + mappai-node-styling.js (138 righe): glossario termini disciplinari (nascosto UI attuale). Ruolo strutturale nodi (keystone, bridge, leaf). Color override dinamico per group custom|Sviluppo/Integrazione|4.0
22.04.2026|Multiselect & Discipline Sync|Implementazione mappai-multiselect.js (354 righe) + mappai-disciplines.js (202 righe): selezione multipla nodi/link. Sinc discipline con Infomaniak API per metadata. Entity backbone per coerenza semantica tra provider|Sviluppo/Integrazione|5.5
26.04.2026|Admin Dashboard & Prompts|Implementazione admin_prompts.js (367 righe): caricamento/salvataggio template prompt custom (prompts_config.json). Dashboard admin (CTRL+SHIFT+P): reset default, preview template, test run AI|Sviluppo/Integrazione|5.0
01.05.2026|Undo/Redo Architecture|Implementazione mappai-undo.js (96 righe): history stack per operazioni (add/delete/merge/relink). Snapshot state, rollback. Binding ctrl+z/ctrl+shift+z|Sviluppo/Integrazione|3.5
05.05.2026|L1 Checkpoint Validation|Implementazione mappai-l1-checkpoint.js (361 righe): validazione conservativa Fase 1 risultati (maxItems:7 enforcement, label length, rel atomicity). Early exit su schema mismatch|Sviluppo/Integrazione|4.5
10.05.2026|Branch Synthesis & Entity Dedup|Implementazione mappai-branch-synthesis.js (476 righe) + entity-backbone (191 righe): sintesi multi-branch, embedding-based deduplication nodi paralleli. Linking words sulla tassonomia (causale, gerarchica, ecc.)|Sviluppo/Integrazione|7.0
15.05.2026|Tree Sanitizer & Integrity|Implementazione mappai-tree-sanitizer.js (312 righe): pulizia grafo ricorsiva, rimozione cicli, loop self-link, nodi orphan. Validazione retrocompatibilità DAL Protocol (legacy links, source fallback)|Sviluppo/Integrazione|5.0
18.05.2026|Suggestions Panel UI|Implementazione mappai-suggestions-panel.js (191 righe): pannello suggerimenti strutturali basato su MappAIStructureAnalyzer. Filtraggio per type (misplaced, isolated, low-connectivity). Actionable hints per student mode|Sviluppo/Integrazione|3.5
22.05.2026|Google Gemini Advanced Config|Implementazione thinkingConfig per modelli gemini-2.5/3: budget thinking allocation dinamico. Soglia maxOutputTokens ≤ 12288 per preservare thinking su phase multi-pass. Rimozione vincoli responseMimeType su Infomaniak|Sviluppo/Integrazione|6.0
25.05.2026|Token Budget Phase 1 Tuning|Testing estensivo Fase 1 L1 generation: budget escalation 2000→2500→3000→4096→6000→12000 (gemini-2.5). Scoperta causa reale troncamento: schemaL1 senza maxItems (replicato @ 6000/8192/12000 token patterns)|Testing/Debugging|8.5
28.05.2026|KG Density Improvement|Diagnosi KG povero (densità 1.1, 68% generiche). Causa A+B risolta: template KNOWLEDGE_GRAPH_SINGLE_IT rewritten con sezione RELAZIONI obbligatoria (concept↔concept laterali). Causa C (Infomaniak) isolata. Risultato Google: density 1.09→2.0|Testing/Debugging|10.0
31.05.2026|Fase 1.5 Validation Framework|Implementazione Fase 1.5: validazione L1 output con budget 1500→3000. Schema strict su label/rel/ambito. Fallback a L1 generazione se validation fallisce (feedback loop)|Sviluppo/Integrazione|5.5
03.06.2026|Fase 1.6 Split Logic|Implementazione Fase 1.6: split macro-aree composte ("Neutralità e Difesa" → 2 atomiche). Detect composite labels, budget 3000→6000, output max 2 oggetti JSON|Sviluppo/Integrazione|4.0
05.06.2026|Phase 4 Merge Orchestration|Implementazione Fase 4 MERGES: selezione intelligente nodi duplicati, remapping link, ricalcolo livelli. Cross-link sintetici basati su merge (non generici "correlato a"). Threshold confidence|Sviluppo/Integrazione|7.5
08.06.2026|KG Community Mode|Implementazione KG Community (single-pass GraphRAG): community detection 3-6 macro-temi, hub sintetici COMM_<id>, output minimale. Reversibile via localStorage flag mappai_kg_community_mode. Testing Google (path ottimale)|Sviluppo/Integrazione|6.0
09.06.2026|Multipass MM Final Optimization|Final validation MM multi-pass token budget: truncated:0/22, 77 nodi, 6 L1, density 1.221, 25.5% crosslinks, sourceCov 90.9%. Tuning Phase 3 branch budget (4096→8192). Phase 4 merge (6500→13000). Thinking config final|Testing/Debugging|9.5
10.06.2026|Bug Fix: CSV Schema Conformity|Fix schemaL1: aggiunto maxItems:7 (critico - senza era capace di aggiungere finche' non finiva il budget). maxLength su label/rel/ambito/desc/confini. Causa identificata pattern -12 token|Testing/Debugging|3.5
11.06.2026|Google vs Infomaniak Alignment|Testing comparativo fase-by-fase su Google Gemini vs Infomaniak (Apertus, GEMMA). Documentazione divergenza template, configurazione budget provider-specific. Archiviazione valutazione modelli Infomaniak|Testing/Debugging|8.0
12.06.2026|Graphology Integration|Integrazione libreria graphology per graph analytics: smart fallback betweenness/bridges centralità nodi. Fallback JS puro se libreria non disponibile. Performance profiling grafi 50-100 nodi|Sviluppo/Integrazione|5.0
15.06.2026|Code Review & Security Audit|Security audit completo: sanitizzazione input AI (replace quote/bracket/brace), XSS prevention su modal HTML, IPC validation, localStorage data type checking. Command injection check su path file I/O|Testing/Debugging|7.0
16.06.2026|Performance Profiling & Optimization|Performance testing D3 rendering (100+ nodi). Lazy loading moduli mappai-*. MutationObserver debounce. Canvas repaint optimization. Misura memory footprint su dev tools|Testing/Debugging|6.0
17.06.2026|Integrazione Atomica Rami Feature|Cherry-pick merge su main di mappai-node-merge.js, dev-console-metrics.js, modale link-family, contesto menu. Validazione cross-file dependencies, export/import coherence|Testing/Debugging|4.5
18.06.2026|Documentation & Final Audit|Documentazione finale CLAUDE.md: flag feature localStorage, comandi console (MappAIMetrics), timeline sessioni di lavoro, bug noti e soluzioni. Preparazione per revisione ASR (Ticino)|Design/Architettura|5.0
TOTALE ORE SVILUPPO|||907.0
